工单ID,url,一级标签,二级标签,三级标签,四级标签,局点名称,问题分类,原因分类,问题标题,工单创建时间,工单结单时间,内部建单人,当前处理人,工单负责人,一线处理时长 (h),一点五线处理时长 (h),二线处理时长(h),产研处理时长(h),垂直产研处理时长(h),处理时长(h),待查根因停留时长(h),超长工单,根因描述 ,后续规避措施,备注,进阶分类
9387649,https://link.andon.tencent.com/v9a5TROP,TCE,平台应用,计量计费管理,计量计费管理,广东金税信创云_互联网区-广东信创互联网-广东信创互联网AZ,产品技术咨询,性能问题,【税总广东-TCE380-罗思帆】【平台】广东互联网区tke创建失败_计费pod出现大量time-wait,2022-08-17 18:56:07,2022-08-24 15:21:22,p_ttingzeng,p_daiyimao,p_daiyimao,0.11,0.06,0,0,0,0.17,0,0,广东互联网区tke创建失败_计费pod出现大量time-wait，通过重启POD解决,提升可靠性,,根因不明
9864169,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=9864169&sign=2dad01a7089e2fee2ac866739cef4624,TCE,平台支撑,TDSQL,TDSQL,金税信创云平台二办_业务专网区-总局二办业务信创-总局二办业务信创区,产品出现异常,性能问题,【税总发票云-TCE-董小松】【平台】tdsql扩容新机器后需要更新业务树以及iplist，需要协助更新,2022-11-09 20:42:24,2022-11-16 15:24:20,p_kkaicchen,p_kkaicchen,p_kkaicchen,0.33,0.36,0,0,0,0.69,0,0,tdsql扩容新机器后需要更新业务树以及iplist，需要协助更新,咨询,,咨询
9392438,https://link.andon.tencent.com/OoAGPO2T,天巡,客户端,客户端整体,日常运维,广东金税信创云_业务专网区-广东信创业务-广东信创业务AZ,产品出现异常,性能问题,【税总广东-TCE380-包海军】广东业务区csp检查服务器连通性异常,2022-08-18 15:22:16,2022-08-25 15:17:42,p_xyxinyang,p_zqdeng,p_zqdeng,0.57,1.92,0,0,0,2.49,0,0,csp连通性失败，通过手动的把每个节点连通一次解决,提升可靠性,,根因不明
9425696,https://link.andon.tencent.com/CrnuIzc4,TCE,平台支撑,TCS,TCS,上海金税信创云_业务专区-上海信创业务专区-上海信创业务专区AZ,产品技术咨询,性能问题,【税总云发票-上海-TCE-尹旭】【tcs】Pod 实际内存使用率（占limit)超过阈 tcloud-barad-storm-worker-5,2022-08-24 16:33:48,2022-08-31 15:35:32,p_cjtan,p_cjtan,p_cjtan,0.09,1.89,0,0,0,1.97,0,0,Pod 实际内存使用率统计口径问题,优化产品特性,,功能缺失
10064860,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10064860&sign=b3e09b3e47106d5cc4c073e5066898cb,TCE,计算,容器服务(TKE),容器服务(TKE),青岛金税信创云_互联网专区-青岛金税信创互联专网-青岛金税信创互联专网一区,产品出现异常,性能问题,【税总发票云-TCE-黄一敏】互联网的两台cvm上的pod的网络连接都异常，proxy有警告信息如图，尝试重启服务器不能解决,2022-12-12 15:14:33,2022-12-19 15:33:00,p_longppeng,p_longppeng,p_longppeng,0.09,0,1.7,0,0,1.8,1.04,0,"两台cvm上的pod的网络连接都异常，因有脏数据导致路由未下发，
重新把node节点加入到集群解决",提升可靠性,,根因不明
9486633,https://link.andon.tencent.com/SWvYNLo4,TCE,中间件,消息队列(CKafka),消息队列(CKafka),金税信创云平台(业务专网区)-总局业务信创-总局业务信创区,产品出现异常,性能问题,【税总广东-TCE380-卢杰达】kafka 消费者 9-3 号 3 点之前都消费正常，3 点 30 之后kafka 的消费端一直在 重平衡操作，最后消费者都变成了 empty 状态。,2022-09-03 11:00:05,2022-09-23 15:11:08,p_pmhliu,p_xjwen,p_xjwen,0.98,11.03,0,0,0,12.01,300.82,1,kafka 的消费端一直在 重平衡操作，最后消费者都变成了 empty 状态。,提升可靠性,,根因不明
9096380,https://link.andon.qq.com/NNQwWzAf,TCE,计算,容器服务(TKE),容器服务(TKE),金税信创云平台(业务专网区)-总局业务信创-总局业务信创区,产品出现异常,性能问题,【税总发票云-TCE 380-仝欣】tke集群pod监控无数据,2022-06-28 17:50:17,2022-07-05 14:53:34,p_anjianli,p_ccongren,p_ccongren,0.12,0.57,0,0.63,0,1.32,0,0,"tke集群pod监控无数据，因prometheus占用大量内存导致频繁重启
",优化组件资源占用,,性能问题
10407828,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10407828&sign=af3c144153d83969baf396e3da3465ee,TCE,数据库,分布式数据库(TDSQL),分布式数据库(TDSQL),金税信创云平台(业务专网区)-总局业务信创-总局业务信创区,客户服务请求,性能问题,【税总发票云-TCE-张鑫】mariadb、tdsql基础层监控没有数据,2023-03-07 09:50:02,2023-03-14 15:12:03,p_xyxinyang,p_xyxinyang,p_xyxinyang,0.52,1.45,1.32,0,0,3.28,5.88,0,产品咨询,咨询,,咨询
9366842,https://link.andon.tencent.com/gXbWEZ06,天巡,客户端,客户端整体,日常运维,广东金税信创云_业务专区_forTCE-天巡-正式-2271,产品出现异常,性能问题,【税总广东-TCE380-张均衡】天巡扫码上传失败,2022-08-15 09:20:20,2022-08-24 15:11:56,p_andysshi,p_cjtan,p_cjtan,0.27,12.08,0,0,0,12.35,36.06,0,天巡扫码上传失败,提升可靠性,,功能异常
8290220,https://link.andon.qq.com/hiz2qm3j,TCE,安全,主机安全(云镜租户版),主机安全(云镜租户版),上海金税信创云_互联网区-shxcww-shxcwwaz1,产品出现异常,性能问题,税总云发票-上海-TCE- 蒋宇】【云镜】互联网区云镜登录审计中无数据，请帮忙排查,2022-03-01 14:37:29,2022-03-11 14:30:27,p_pchjiang,p_pqiaozeng,p_pqiaozeng,16.08,0,2.43,0,50.9,8.55,69.84,0,互联网区云镜登录审计中无数据，请帮忙排查,咨询,,咨询
10085530,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10085530&sign=ab9fc123ee1eef627e267951b93b3ffc,TCE,云监控,云哨,云哨,上海金税信创云_业务专区-上海信创业务专区-上海信创业务专区AZ,产品出现异常,性能问题,【税总云发票-上海-TCE-陈琦】天巡巡检tce-es-barad状态异常,2022-12-15 14:31:45,2022-12-22 15:13:49,p_gwweigao,p_gwweigao,p_gwweigao,0.12,0,0.94,0,0,1.06,0.99,0,天巡巡检tce-es-barad状态异常，请排查,咨询,,咨询
9661497,https://link.andon.tencent.com/0YyXz8FQ,TCE,数据库,分布式云数据库(TBase),监控指标咨询,金税信创云平台(互联网区)-总局互联网信创-互联网信创区1,产品出现异常,性能问题,【税总广东-TCE380-陈丰】barad获取tbase查询库交接数失败,2022-10-08 16:10:11,2022-10-16 15:10:56,p_pbinqiu,p_pbinqiu,p_pbinqiu,0.63,2.27,0,0,0,2.9,21.56,0,barad获取tbase查询库交接数失败，扩容confdb扩容后解决,完善容量规划,,容量规划
